number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_offset,params_subsample,params_threshold,params_use_dynamic_threshold,state
363,0.0,2025-11-30 09:31:40.313517,2025-11-30 09:31:57.685932,0 days 00:00:17.372415,10.0,999.0,0.11303622890697688,0.030134476463280095,41.0,0.00044709698206985184,0.7587681530389373,0.0024999442669602114,,COMPLETE
364,0.0,2025-11-30 09:31:57.706677,2025-11-30 09:32:54.410868,0 days 00:00:56.704191,9.0,999.0,0.04926998953640093,0.09937667246925093,45.0,0.00046917333582148426,0.7661355251267291,0.002499925884517803,,COMPLETE
365,0.0,2025-11-30 09:32:54.428666,2025-11-30 09:33:11.857445,0 days 00:00:17.428779,10.0,999.0,0.17872889223300967,0.03015760185451645,42.0,0.0004964581075997,0.8060772969449514,0.002499922175689142,,COMPLETE
366,0.0,2025-11-30 09:33:11.875089,2025-11-30 09:33:29.264289,0 days 00:00:17.389200,10.0,999.0,0.07489767261917063,0.038873408616082884,40.0,0.0004968508200218326,0.7835680576703227,0.002499942420809538,,COMPLETE
367,0.0,2025-11-30 09:33:29.285733,2025-11-30 09:33:46.611858,0 days 00:00:17.326125,10.0,999.0,0.12999074461670074,0.03175430016910297,34.0,0.0003609501399000772,0.7500144232959597,0.002499894190261115,,COMPLETE
181,0.0,2025-11-30 04:09:02.580925,2025-11-30 04:13:01.672800,0 days 00:03:59.091875,11.0,1224.0,0.13754818394111432,0.000630915520559006,34.0,0.00046429138936906404,0.7618466018187622,0.025133183445099114,False,COMPLETE
180,0.0,2025-11-30 04:04:38.954906,2025-11-30 04:08:56.758019,0 days 00:04:17.803113,11.0,1268.0,0.0957615168836517,0.0034230115309719215,25.0,0.0005967788374397564,0.8269876282399418,0.01629914758984236,False,COMPLETE
96,0.0,2025-11-30 01:14:20.482144,2025-11-30 01:15:16.105461,0 days 00:00:55.623317,6.0,1044.0,0.0849392908680345,0.08540723859979713,62.0,0.001960708560518099,0.591780959362209,0.04284344350730731,False,COMPLETE
89,0.0,2025-11-30 01:05:57.548382,2025-11-30 01:06:43.227715,0 days 00:00:45.679333,7.0,688.0,2.368777051270665,0.18065671950077708,50.0,-0.000657907940674637,0.5319069555551578,0.2550036098694872,False,COMPLETE
110,0.0,2025-11-30 01:30:40.150829,2025-11-30 01:30:52.910716,0 days 00:00:12.759887,6.0,1183.0,3.377974905102707e-07,0.18287317139220036,42.0,0.00010550864744231076,0.5477058646737114,0.01969941805646343,False,COMPLETE
81,0.0,2025-11-30 00:56:02.259920,2025-11-30 00:57:39.254794,0 days 00:01:36.994874,8.0,1348.0,1.9791628266961052,0.08545478614111371,75.0,0.0003874058722926002,0.5178378790608438,0.14565526174945992,False,COMPLETE
71,0.0,2025-11-30 00:43:29.162553,2025-11-30 00:44:27.588117,0 days 00:00:58.425564,6.0,1186.0,0.01796373923875894,0.09468035332725938,66.0,0.00011432017610538557,0.5307930299960691,0.12374458310072424,False,COMPLETE
70,0.0,2025-11-30 00:42:06.570106,2025-11-30 00:43:22.342605,0 days 00:01:15.772499,7.0,1273.0,0.06388213956379629,0.198704195005282,63.0,-0.00039303416137518297,0.5618902167375985,0.0602217849465318,False,COMPLETE
55,0.0,2025-11-30 00:23:42.789199,2025-11-30 00:23:56.190896,0 days 00:00:13.401697,7.0,1166.0,5.2121866258808274e-05,0.08342393552737994,61.0,0.00019029374574242524,0.6024223816161128,0.010624252577938276,False,COMPLETE
51,0.0,2025-11-30 00:20:05.659848,2025-11-30 00:20:18.894418,0 days 00:00:13.234570,7.0,972.0,0.0022702066386835512,0.09041178655765561,64.0,-0.00011631842309850102,0.5456022651812364,0.020226821681510923,False,COMPLETE
80,0.0,2025-11-30 00:54:47.418389,2025-11-30 00:55:52.454062,0 days 00:01:05.035673,6.0,1145.0,0.4565360099288891,0.02186234616624332,71.0,-0.00017982964081288407,0.7777016577303671,0.21282570161694664,False,COMPLETE
101,0.0,2025-11-30 01:20:06.709119,2025-11-30 01:20:19.904065,0 days 00:00:13.194946,7.0,1019.0,1.6805862263110874e-08,0.0012401035333583458,58.0,-0.00048148048243825965,0.5033085315493386,0.024203802423720715,False,COMPLETE
109,0.0,2025-11-30 01:29:34.706454,2025-11-30 01:30:40.133836,0 days 00:01:05.427382,7.0,1052.0,0.21016060646932225,0.00974812024107255,52.0,0.000659865720278386,0.5756140805813179,0.0275730124939765,True,COMPLETE
166,0.0,2025-11-30 02:59:35.563739,2025-11-30 03:02:50.106945,0 days 00:03:14.543206,10.0,1280.0,0.09730656406949827,0.06793518228870873,38.0,0.0006632340524150703,0.7960975637585702,0.010092977885213971,False,COMPLETE
100,0.0,2025-11-30 01:19:00.801886,2025-11-30 01:20:00.655294,0 days 00:00:59.853408,6.0,1205.0,0.04130370843937509,0.1333389869811483,68.0,0.00025943565139975344,0.5309285457142008,0.0495357079155469,False,COMPLETE
128,0.0,2025-11-30 01:52:48.144392,2025-11-30 01:53:02.874823,0 days 00:00:14.730431,9.0,1212.0,1.3565499821231746e-05,0.11313378131160684,63.0,0.0007481995890606223,0.5430188627553828,0.034314103506119124,False,COMPLETE
204,0.0,2025-11-30 05:50:15.634895,2025-11-30 05:55:04.186883,0 days 00:04:48.551988,11.0,1301.0,0.20858124789965687,0.03210864447660479,41.0,0.0006526611156743727,0.795930518447069,0.010063484865696536,False,COMPLETE
58,0.0,2025-11-30 00:26:30.866937,2025-11-30 00:26:43.619511,0 days 00:00:12.752574,6.0,1280.0,0.0007763634427541657,0.10099756369479738,45.0,0.0008319871689480778,0.544488150449119,0.05156011773374132,False,COMPLETE
59,0.0,2025-11-30 00:26:43.646823,2025-11-30 00:26:57.570345,0 days 00:00:13.923522,7.0,1079.0,0.0029225257915470927,0.05869425987251385,64.0,0.0007724572722520456,0.9154790661645791,0.022823902117924857,False,COMPLETE
194,0.0,2025-11-30 05:03:57.751325,2025-11-30 05:08:22.887562,0 days 00:04:25.136237,11.0,1200.0,0.11707555548570198,0.07481175715208231,18.0,0.00036800195570770987,0.7414461893758452,0.08923328401990308,False,COMPLETE
79,0.0,2025-11-30 00:53:38.013229,2025-11-30 00:54:47.401364,0 days 00:01:09.388135,7.0,1021.0,0.17595855061438898,0.07236945049134352,62.0,0.0006013593823141851,0.7445912255904534,0.17241180374579862,False,COMPLETE
40,0.0,2025-11-30 00:06:24.127097,2025-11-30 00:07:19.138795,0 days 00:00:55.011698,8.0,1055.0,3.5984235410277905,0.015309396938079428,79.0,0.0003458584841910849,0.6302663534399077,0.18615168120271833,True,COMPLETE
36,0.0,2025-11-30 00:00:02.390241,2025-11-30 00:00:15.481243,0 days 00:00:13.091002,6.0,1388.0,3.357117893153614e-05,0.11343963322762304,83.0,-0.001967853457151491,0.6453294528838835,0.10659029364902275,True,COMPLETE
38,0.0,2025-11-30 00:01:45.557273,2025-11-30 00:03:08.592564,0 days 00:01:23.035291,9.0,1262.0,0.006427291924936673,0.002320186142233543,93.0,-0.0015773405985762996,0.5395728334243108,0.09255398114945838,False,COMPLETE
41,0.0,2025-11-30 00:07:24.423569,2025-11-30 00:09:13.693033,0 days 00:01:49.269464,9.0,997.0,0.7455185667259971,0.06272101448540951,95.0,-0.0014347924397685758,0.7568636597592063,0.2354518124746638,False,COMPLETE
